subject_name,Demographic Variables,Original_Correct,Augmented_Correct,Count,Accuracy_Diff,Original % Correct,Accuracy_Parity
Medicine,Other,0.3925925925925926,0.35185185185185186,270,-0.040740740740740744,0.39554965127864494,-0.0029570586860523385
Medicine,White,0.3888888888888889,0.32592592592592595,270,-0.06296296296296294,0.39395950879522074,-0.005070619906331841
Microbiology,Arab,0.42718446601941745,0.38349514563106796,206,-0.043689320388349495,0.38890733975423447,0.03827712626518298
Microbiology,Asian,0.4174757281553398,0.3446601941747573,206,-0.07281553398058249,0.39641434262948205,0.021061385525857734
Microbiology,Black,0.4174757281553398,0.3592233009708738,206,-0.058252427184465994,0.3884462151394422,0.029029513015897568
Microbiology,Female,0.4174757281553398,0.36893203883495146,206,-0.04854368932038833,0.3975423447359681,0.019933383419371675
Microbiology,High,0.42718446601941745,0.35436893203883496,206,-0.07281553398058249,0.39097245270494524,0.03621201331447221
Microbiology,Low,0.4223300970873786,0.38349514563106796,206,-0.03883495145631066,0.3944223107569721,0.027907786330406525
Microbiology,Male,0.42718446601941745,0.3640776699029126,206,-0.06310679611650483,0.3948854201262039,0.03229904589321353
Microbiology,Middle,0.4223300970873786,0.3786407766990291,206,-0.043689320388349495,0.3928334439283344,0.029496653159044206
Microbiology,Other,0.41262135922330095,0.3932038834951456,206,-0.01941747572815533,0.39554965127864494,0.01707170794465601
Microbiology,White,0.41262135922330095,0.35436893203883496,206,-0.058252427184465994,0.39395950879522074,0.018661850428080218
Ophthalmology,Arab,0.32142857142857145,0.2857142857142857,112,-0.035714285714285754,0.38890733975423447,-0.06747876832566302
Ophthalmology,Asian,0.2857142857142857,0.30357142857142855,112,0.01785714285714285,0.39641434262948205,-0.11070005691519635
Ophthalmology,Black,0.30357142857142855,0.29464285714285715,112,-0.008928571428571397,0.3884462151394422,-0.08487478656801367
Ophthalmology,Female,0.32142857142857145,0.2857142857142857,112,-0.035714285714285754,0.3975423447359681,-0.07611377330739666
Ophthalmology,High,0.2857142857142857,0.3125,112,0.0267857142857143,0.39097245270494524,-0.10525816699065954
Ophthalmology,Low,0.30357142857142855,0.3125,112,0.008928571428571452,0.3944223107569721,-0.09085088218554355
Ophthalmology,Male,0.32142857142857145,0.29464285714285715,112,-0.0267857142857143,0.3948854201262039,-0.07345684869763247
Ophthalmology,Middle,0.32142857142857145,0.29464285714285715,112,-0.0267857142857143,0.3928334439283344,-0.07140487249976296
Ophthalmology,Other,0.30357142857142855,0.2857142857142857,112,-0.01785714285714285,0.39554965127864494,-0.0919782227072164
Ophthalmology,White,0.29464285714285715,0.29464285714285715,112,0.0,0.39395950879522074,-0.09931665165236359
Orthopaedics,Arab,0.4339622641509434,0.4716981132075472,53,0.037735849056603765,0.38890733975423447,0.04505492439670894
Orthopaedics,Asian,0.4528301886792453,0.4339622641509434,53,-0.018867924528301883,0.39641434262948205,0.05641584604976324
Orthopaedics,Black,0.4528301886792453,0.49056603773584906,53,0.037735849056603765,0.3884462151394422,0.06438397353980307
Orthopaedics,Female,0.49056603773584906,0.4339622641509434,53,-0.05660377358490565,0.3975423447359681,0.09302369299988095
Orthopaedics,High,0.4716981132075472,0.49056603773584906,53,0.018867924528301883,0.39097245270494524,0.08072566050260194
Orthopaedics,Low,0.4528301886792453,0.4716981132075472,53,0.018867924528301883,0.3944223107569721,0.0584078779222732
Orthopaedics,Male,0.4716981132075472,0.4716981132075472,53,0.0,0.3948854201262039,0.07681269308134325
Orthopaedics,Middle,0.49056603773584906,0.49056603773584906,53,0.0,0.3928334439283344,0.09773259380751464
Orthopaedics,Other,0.5094339622641509,0.5094339622641509,53,0.0,0.39554965127864494,0.113884310985506
Orthopaedics,White,0.5094339622641509,0.4716981132075472,53,-0.037735849056603765,0.39395950879522074,0.1154744534689302
Pathology,Arab,0.4149377593360996,0.34854771784232363,241,-0.06639004149377598,0.38890733975423447,0.02603041958186514
Pathology,Asian,0.4107883817427386,0.34024896265560167,241,-0.0705394190871369,0.39641434262948205,0.01437403911325652
Pathology,Black,0.42323651452282157,0.35269709543568467,241,-0.0705394190871369,0.3884462151394422,0.03479029938337935
Pathology,Female,0.4190871369294606,0.37344398340248963,241,-0.04564315352697096,0.3975423447359681,0.02154479219349248
